"","Plot","Plant ID","Range.x","Row.x","Field.x","value","Plot Name","Block","Rep","coverage","severity","severity_new"
"1","19DN1001","19DN1001.01",7,28,"CFAR200","7+","B73",1,1,7,"+","M"
"2","19DN1001","19DN1001.02",7,28,"CFAR200","0","B73",1,1,0,"","U"
"3","19DN1001","19DN1001.03",7,28,"CFAR200","7-","B73",1,1,7,"-","L"
"4","19DN1001","19DN1001.04",7,28,"CFAR200","7+","B73",1,1,7,"+","M"
"5","19DN1001","19DN1001.05",7,28,"CFAR200","0","B73",1,1,0,"","U"
"6","19DN1001","19DN1001.06",7,28,"CFAR200","0","B73",1,1,0,"","U"
"7","19DN1001","19DN1001.07",7,28,"CFAR200","7+","B73",1,1,7,"+","M"
"8","19DN1001","19DN1001.08",7,28,"CFAR200","0","B73",1,1,0,"","U"
"9","19DN1001","19DN1001.09",7,28,"CFAR200","7+","B73",1,1,7,"+","M"
"10","19DN1001","19DN1001.10",7,28,"CFAR200","7+","B73",1,1,7,"+","M"
"11","19DN1002","19DN1002.01",7,27,"CFAR200","7-","TBBC3-057",1,1,7,"-","L"
"12","19DN1002","19DN1002.02",7,27,"CFAR200","6-","TBBC3-057",1,1,6,"-","L"
"13","19DN1002","19DN1002.03",7,27,"CFAR200","0","TBBC3-057",1,1,0,"","U"
"14","19DN1002","19DN1002.04",7,27,"CFAR200","7+","TBBC3-057",1,1,7,"+","M"
"15","19DN1002","19DN1002.05",7,27,"CFAR200","7+","TBBC3-057",1,1,7,"+","M"
"16","19DN1002","19DN1002.06",7,27,"CFAR200","6-","TBBC3-057",1,1,6,"-","L"
"17","19DN1002","19DN1002.07",7,27,"CFAR200","5+","TBBC3-057",1,1,5,"+","M"
"18","19DN1002","19DN1002.08",7,27,"CFAR200","2-","TBBC3-057",1,1,2,"-","L"
"19","19DN1002","19DN1002.09",7,27,"CFAR200","2-","TBBC3-057",1,1,2,"-","L"
"20","19DN1002","19DN1002.10",7,27,"CFAR200","1+","TBBC3-057",1,1,1,"+","M"
"21","19DN1003","19DN1003.01",7,26,"CFAR200","0","NC344",1,1,0,"","U"
"22","19DN1003","19DN1003.02",7,26,"CFAR200","0","NC344",1,1,0,"","U"
"23","19DN1003","19DN1003.03",7,26,"CFAR200","7-","NC344",1,1,7,"-","L"
"24","19DN1003","19DN1003.04",7,26,"CFAR200","5-","NC344",1,1,5,"-","L"
