"","Plot","Plant ID","mean","coverage_rate","incidence_rate","severity","plot_count","mummi_rate","plot_id","range","row","rep","field","plot","coverage","block","coverage_count","severity_new"
"1","19DR1001","19DR1001.06",4.66666666666667,0.166666666666667,0.833333333333333,"",6,0.166666666666667,"19DR1001",2,5,1,"CFAR200","Z025E0191",0,1,1,"2"
"2","19DR1001","19DR1001.01",4.66666666666667,0.166666666666667,0.833333333333333,"",6,0.166666666666667,"19DR1001",2,5,1,"CFAR200","Z025E0191",0,1,1,"2"
"3","19DR1001","19DR1001.02",4.66666666666667,0.166666666666667,0.833333333333333,"",6,0.166666666666667,"19DR1001",2,5,1,"CFAR200","Z025E0191",0,1,1,"2"
"4","19DR1001","19DR1001.05",4.66666666666667,0.166666666666667,0.833333333333333,"",6,0.166666666666667,"19DR1001",2,5,1,"CFAR200","Z025E0191",0,1,1,"2"
"5","19DR1001","19DR1001.04",4.66666666666667,0.166666666666667,0.833333333333333,"",6,0.166666666666667,"19DR1001",2,5,1,"CFAR200","Z025E0191",0,1,1,"2"
"6","19DR1001","19DR1001.03",4.66666666666667,0.166666666666667,0.833333333333333,"",6,0.166666666666667,"19DR1001",2,5,1,"CFAR200","Z025E0191",0,1,1,"2"
"7","19DR1002","19DR1002.06",2.75,0.25,0.75,"",8,0.125,"19DR1002",2,6,1,"CFAR200","Z025E0124",0,1,2,"2"
"8","19DR1002","19DR1002.07",2.75,0.25,0.75,"",8,0.125,"19DR1002",2,6,1,"CFAR200","Z025E0124",0,1,2,"2"
"9","19DR1002","19DR1002.04",2.75,0.25,0.75,"",8,0.125,"19DR1002",2,6,1,"CFAR200","Z025E0124",0,1,2,"2"
"10","19DR1002","19DR1002.05",2.75,0.25,0.75,"",8,0.125,"19DR1002",2,6,1,"CFAR200","Z025E0124",0,1,2,"2"
"11","19DR1002","19DR1002.03",2.75,0.25,0.75,"",8,0.125,"19DR1002",2,6,1,"CFAR200","Z025E0124",0,1,2,"2"
"12","19DR1002","19DR1002.02",2.75,0.25,0.75,"",8,0.125,"19DR1002",2,6,1,"CFAR200","Z025E0124",0,1,2,"2"
"13","19DR1002","19DR1002.08",2.75,0.25,0.75,"",8,0.125,"19DR1002",2,6,1,"CFAR200","Z025E0124",0,1,2,"2"
"14","19DR1002","19DR1002.01",2.75,0.25,0.75,"",8,0.125,"19DR1002",2,6,1,"CFAR200","Z025E0124",0,1,2,"2"
"15","19DR1003","19DR1003.01",2.7,0.3,0.7,"",10,0,"19DR1003",2,7,1,"CFAR200","Z025E0155",0,1,3,"2"
"16","19DR1003","19DR1003.10",2.7,0.3,0.7,"+",10,0,"19DR1003",2,7,1,"CFAR200","Z025E0155",0,1,3,"3"
"17","19DR1003","19DR1003.09",2.7,0.3,0.7,"+",10,0,"19DR1003",2,7,1,"CFAR200","Z025E0155",0,1,3,"3"
"18","19DR1003","19DR1003.02",2.7,0.3,0.7,"",10,0,"19DR1003",2,7,1,"CFAR200","Z025E0155",0,1,3,"2"
"19","19DR1003","19DR1003.08",2.7,0.3,0.7,"-",10,0,"19DR1003",2,7,1,"CFAR200","Z025E0155",0,1,3,"1"
"20","19DR1003","19DR1003.03",2.7,0.3,0.7,"",10,0,"19DR1003",2,7,1,"CFAR200","Z025E0155",0,1,3,"2"
"21","19DR1003","19DR1003.06",2.7,0.3,0.7,"",10,0,"19DR1003",2,7,1,"CFAR200","Z025E0155",0,1,3,"2"
"22","19DR1003","19DR1003.05",2.7,0.3,0.7,"",10,0,"19DR1003",2,7,1,"CFAR200","Z025E0155",0,1,3,"2"
"23","19DR1003","19DR1003.04",2.7,0.3,0.7,"+",10,0,"19DR1003",2,7,1,"CFAR200","Z025E0155",0,1,3,"3"
"24","19DR1003","19DR1003.07",2.7,0.3,0.7,"+",10,0,"19DR1003",2,7,1,"CFAR200","Z025E0155",0,1,3,"3"
"25","19DR1004","19DR1004.02",2.28571428571429,0.285714285714286,0.714285714285714,"-",7,0,"19DR1004",2,8,1,"CFAR200","Z025E0178",0,1,2,"1"
"26","19DR1004","19DR1004.01",2.28571428571429,0.285714285714286,0.714285714285714,"+",7,0,"19DR1004",2,8,1,"CFAR200","Z025E0178",0,1,2,"3"
"27","19DR1004","19DR1004.04",2.28571428571429,0.285714285714286,0.714285714285714,"",7,0,"19DR1004",2,8,1,"CFAR200","Z025E0178",0,1,2,"2"
"28","19DR1004","19DR1004.03",2.28571428571429,0.285714285714286,0.714285714285714,"-",7,0,"19DR1004",2,8,1,"CFAR200","Z025E0178",0,1,2,"1"
"29","19DR1004","19DR1004.06",2.28571428571429,0.285714285714286,0.714285714285714,"-",7,0,"19DR1004",2,8,1,"CFAR200","Z025E0178",0,1,2,"1"
"30","19DR1004","19DR1004.07",2.28571428571429,0.285714285714286,0.714285714285714,"",7,0,"19DR1004",2,8,1,"CFAR200","Z025E0178",0,1,2,"2"
"31","19DR1004","19DR1004.05",2.28571428571429,0.285714285714286,0.714285714285714,"",7,0,"19DR1004",2,8,1,"CFAR200","Z025E0178",0,1,2,"2"
"32","19DR1007","19DR1007.03",0.6,0.6,0.4,"-",5,0,"19DR1007",2,11,1,"CFAR200","Z025E0172",0,1,3,"1"
"33","19DR1007","19DR1007.04",0.6,0.6,0.4,"",5,0,"19DR1007",2,11,1,"CFAR200","Z025E0172",0,1,3,"2"
"34","19DR1007","19DR1007.02",0.6,0.6,0.4,"",5,0,"19DR1007",2,11,1,"CFAR200","Z025E0172",0,1,3,"2"
"35","19DR1007","19DR1007.05",0.6,0.6,0.4,"-",5,0,"19DR1007",2,11,1,"CFAR200","Z025E0172",0,1,3,"1"
"36","19DR1007","19DR1007.01",0.6,0.6,0.4,"",5,0,"19DR1007",2,11,1,"CFAR200","Z025E0172",0,1,3,"2"
"37","19DR1009","19DR1009.01",3,NA,1,"-",6,0,"19DR1009",2,13,1,"CFAR200","Z025E0061",NA,1,NA,"1"
"38","19DR1009","19DR1009.02",3,NA,1,"-",6,0,"19DR1009",2,13,1,"CFAR200","Z025E0061",NA,1,NA,"1"
"39","19DR1009","19DR1009.03",3,NA,1,"-",6,0,"19DR1009",2,13,1,"CFAR200","Z025E0061",NA,1,NA,"1"
"40","19DR1009","19DR1009.04",3,NA,1,"-",6,0,"19DR1009",2,13,1,"CFAR200","Z025E0061",NA,1,NA,"1"
"41","19DR1009","19DR1009.05",3,NA,1,"-",6,0,"19DR1009",2,13,1,"CFAR200","Z025E0061",NA,1,NA,"1"
"42","19DR1009","19DR1009.06",3,NA,1,"+",6,0,"19DR1009",2,13,1,"CFAR200","Z025E0061",NA,1,NA,"3"
"43","19DR1010","19DR1010.04",0.2,0.8,0.2,"",10,0,"19DR1010",2,14,1,"CFAR200","Z025E0114",0,1,8,"2"
"44","19DR1010","19DR1010.06",0.2,0.8,0.2,"",10,0,"19DR1010",2,14,1,"CFAR200","Z025E0114",0,1,8,"2"
